Brand,Model,Protocol,Transport,ReadMe
SMA,Energy Meter Speedwire,sma_energy_meter_speedwire,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SMA.md
SMA,CAN / Modbus RTU map,sma_modbus_rtu,CanBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SMA.md
SMA,Sunny Home Manager,sma_sunny_home_manager,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SMA.md
SMA,Sunny Island,sma_sunny_island,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SMA.md
SMA,Sunny Island v1,sma_sunny_island_v1,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SMA.md
SMA,Sunny Boy / Tripower,sma_sunnyboy_tripower,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SMA.md
SMA,Tripower Storage Hybrid,sma_tripower_storage_hybrid,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SMA.md
SOK,SK48V100 / PACE BMS,sok_sk48v100_pace_bms,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SOK.md
SolarEdge,SunSpec inverter,solaredge_sunspec,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SolarEdge.md
SolaX,X1/X3 Hybrid G4-style inverter,solax_hybrid_g4,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SolaX.md
Sol-Ark,Hybrid inverter,solark_hybrid,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SolArk.md
Sol-Ark,Modbus v1.1,solark_v1.1,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SolArk.md
Solis / Ginlong,Hybrid inverter,solis_hybrid,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Solis.md
Solis / Ginlong,String inverter,solis_string,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Solis.md
SRNE,Energy-storage inverter v1.96,srne_2021_v1.96,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SRNE.md
SRNE,Energy-storage inverter v1.7,srne_v1.7,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SRNE.md
SRNE,Controller / inverter v3.9,srne_v3.9,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/SRNE.md
Sungrow,SH / RS / RT hybrid inverter,sungrow_hybrid,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Sungrow.md
Sungrow,SG-series string inverter,sungrow_sg,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Sungrow.md
Victron,BMV battery monitor,victron_bmv_battery_monitor,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Victron.md
Victron,GX generic CAN bus,victron_gx_generic_canbus,CanBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Victron.md
Victron,GX v3.3,victron_gx_v3.3,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Victron.md
Victron,MK3-USB VE.Bus,victron_mk3usb_vebus,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Victron.md
Victron,MultiPlus / Quattro,victron_multiplus_quattro,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Victron.md
Victron,Phoenix inverter,victron_phoenix_inverter,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Victron.md
Victron,SmartSolar MPPT,victron_smartsolar_mppt,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Victron.md
Victron,VE.Direct serial device,victron_vedirect_serial,Serial,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Victron.md
Victron,Venus GX system,victron_venus_gx_system,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Victron.md
Voltronic,BMS 2020-03-25,voltronic_bms_2020_03_25,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Voltronic.md
Voltronic,BMS v1.1,voltronic_bms_v1.1,ModBus,https://github.com/BuxtonCalvin/MultiProtocolGateway/blob/main/documentation/devices/Voltronic.md
