variable name,data type,register,documented name,unit,values,note
,USHORT,67,cell_04_voltage,1mV,0-65535,Cell 4 voltage in mV
,USHORT,68,cell_05_voltage,1mV,0-65535,Cell 5 voltage in mV
,USHORT,69,cell_06_voltage,1mV,0-65535,Cell 6 voltage in mV
,USHORT,70,cell_07_voltage,1mV,0-65535,Cell 7 voltage in mV
,USHORT,71,cell_08_voltage,1mV,0-65535,Cell 8 voltage in mV
,USHORT,72,cell_09_voltage,1mV,0-65535,Cell 9 voltage in mV
,USHORT,73,cell_10_voltage,1mV,0-65535,Cell 10 voltage in mV
,USHORT,74,cell_11_voltage,1mV,0-65535,Cell 11 voltage in mV
,USHORT,75,cell_12_voltage,1mV,0-65535,Cell 12 voltage in mV
,USHORT,76,cell_13_voltage,1mV,0-65535,Cell 13 voltage in mV
,USHORT,77,cell_14_voltage,1mV,0-65535,Cell 14 voltage in mV
,USHORT,78,cell_15_voltage,1mV,0-65535,Cell 15 voltage in mV
,USHORT,79,cell_16_voltage,1mV,0-65535,Cell 16 voltage in mV

# --- Temperature sensors (registers 0x0050 – 0x0057) -------
# Signed 0.1°C.  LL-S typically has 4 sensors; unused sensors read 0x7FFF.

,SHORT,80,temp_sensor_1,0.1C,-32768-32767,Temperature sensor 1 (cell group 1)
,SHORT,81,temp_sensor_2,0.1C,-32768-32767,Temperature sensor 2 (cell group 2)
,SHORT,82,temp_sensor_3,0.1C,-32768-32767,Temperature sensor 3 (cell group 3)
,SHORT,83,temp_sensor_4,0.1C,-32768-32767,Temperature sensor 4 (cell group 4)
,SHORT,84,temp_sensor_5,0.1C,-32768-32767,Temperature sensor 5 (if present)
,SHORT,85,temp_sensor_6,0.1C,-32768-32767,Temperature sensor 6 (if present)
,SHORT,86,temp_sensor_7,0.1C,-32768-32767,Temperature sensor 7 (if present)
,SHORT,87,temp_sensor_8,0.1C,-32768-32767,Temperature sensor 8 (if present)

# --- BMS version / identity (registers 0x0060 – 0x0068) ----

,USHORT,96,hardware_version,,0-65535,Hardware version (e.g. 0x0100 = v1.0)
,USHORT,97,firmware_version,,0-65535,Firmware version (e.g. 0x0205 = v2.5)
,USHORT,98,manufacture_date,,0-65535,Packed BCD: high byte = year offset from 2000; low byte = week
,USHORT,99,bms_slave_address,,1-64,This battery's own Modbus slave address (mirrors DIP switch)
,USHORT,100,battery_chemistry,,0-65535,Cell chemistry code (1=LiFePO4 2=NMC)
,USHORT,101,nominal_voltage,0.01V,0-65535,Nominal pack voltage (4800 = 48.00V)
,USHORT,102,nominal_capacity,10mAh,0-65535,Nominal capacity

# ============================================================
# STATUS / PROTECTION BIT DEFINITIONS
# (for reference when decoding 16-bit flag registers above)
#
# battery_status (reg 15):
#   bit 0  - Charging
#   bit 1  - Discharging
#   bit 2  - Standby
#   bit 3  - Full charge
#   bit 4  - Full discharge
#   bit 5  - Balance active
#   bit 6  - Charge FET ON
#   bit 7  - Discharge FET ON
#
# protection_status (reg 16):
#   bit 0  - Cell overvoltage
#   bit 1  - Cell undervoltage
#   bit 2  - Pack overvoltage
#   bit 3  - Pack undervoltage
#   bit 4  - Charge overcurrent
#   bit 5  - Discharge overcurrent
#   bit 6  - Charge overtemperature
#   bit 7  - Discharge overtemperature
#   bit 8  - Charge undertemperature
#   bit 9  - Discharge undertemperature
#   bit 10 - MOSFET overtemperature
#   bit 11 - Short circuit
#   bit 12 - IC fault
#   bit 13 - Software lock
#
# warning_status (reg 17): same bit layout as protection_status but
#   indicates pre-fault warning thresholds have been crossed.
# ============================================================
