register,variable_name,documented_name,unit,data_type,values,adjustments,note,writable,read_interval
115.b0,sn_0__year,SN_0__YeaR,,8bit,[0-9a-zA-Z],,The serial number is a ten-digit ASCII code For example: The serial number is AB12345678 SN[0]=0x41(A) : : : : SN[9]=0x38(8),R,
115.b8,sn_1__week,SN_1__week,,8bit,[0-9a-zA-Z],,,R,
116.b0,sn_2__week,SN_2__week,,8bit,[0-9a-zA-Z],,,R,
116.b8,sn_3__factory,SN_3__factory,,8bit,[0-9a-zA-Z],,,R,
117.b0,sn_4__product_code,SN_4__product_code,,8bit,[0-9a-zA-Z],,,R,
117.b8,sn_5__product_code,SN_5__product_code,,8bit,[0-9a-zA-Z],,,R,
118.b0,sn_6__serial_number,SN_6__serial_number,,8bit,[0-9a-zA-Z],,,R,
118.b8,sn_7__serial_number,SN_7__serial_number,,8bit,[0-9a-zA-Z],,,R,
119.b0,sn_8__serial_number,SN_8__serial_number,,8bit,[0-9a-zA-Z],,,R,
119.b8,sn_9__serial_number,SN_9__serial_number,,8bit,[0-9a-zA-Z],,,R,
120,vbusp,VBusP,0.1V,,,,Half BUS voltage,R,
121,genvolt,GenVolt,0.1V,,,,Generator voltage Voltage of generator for three phase: R phase,R,
122,genfreq,GenFreq,0.01Hz,,,,Generator frequency,R,
123,genpower,GenPower,W,,,,system uptime counter in seconds misnamed as genpower,R,
124,egen_day,Egen_day,0.1kWh,,,,Energy of generator today,R,
125,egen_all,Egen_all,1kWh,UINT,,"{""Register_Endian"": ""little_endian-CDAB""}",Low byte of total generator energy,R,
127,epsvoltl1n,EPSVoltL1N,0.1V,,,,Voltage of EPS L1N Voltage of generator for three phase: S phase,R,
128,epsvoltl2n,EPSVoltL2N,0.1V,,,,Voltage of EPS L2N Voltage of generator for three phase: T phase,R,
129,peps_l1n,Peps_L1N,W,,,,Active power of EPS L1N Off-grid active power of three phase: S phase,R,
130,peps_l2n,Peps_L2N,W,,,,Active power of EPS L2N Off-grid active power of three phase: T phase,R,
131,seps_l1n,Seps_L1N,VA,,,,Apparent power of EPS L1N Off-grid apparent power of three phase: S phase,R,
132,seps_l2n,Seps_L2N,VA,,,,Apparent power of EPS L2N Off-grid apparent power of three phase: T phase,R,
133,eepsl1n_day,EepsL1N_day,0.1kWh,,,,Daily energy of EPSL1N Off-grid daily energy of three phase: S phase,R,
134,eepsl2n_day,EepsL2N_day,0.1kWh,,,,Daily energy of EPSL2N Off-grid daily energy of three phase: T phase,R,
135,eepsl1n_all,EepsL1N_all,1kWh,UINT,,"{""Register_Endian"": ""little_endian-CDAB""}",Low byte of total EPSL1N energy Total off-grid power of three phase: S phase,R,
137,eepsl2n_all,EepsL2N_all,1kWh,UINT,,"{""Register_Endian"": ""little_endian-CDAB""}",Low word of total EPSL2N energy Total off-grid power of three phase: T phase,R,
139,register_139,Register 139,,ushort,0-65535,,Unknown,R,
140,afci_currch1,AFCI_CurrCH1,mA,,,,AFCI current,R,
141,afci_currch2,AFCI_CurrCH2,mA,,,,AFCI current,R,
142,afci_currch3,AFCI_CurrCH3,mA,,,,AFCI current,R,
143,afci_currch4,AFCI_CurrCH4,mA,,,,AFCI current,R,
144.b8,afci_arcalarm_rsvd,AFCI_ArcAlarm_rsvd,,8bit,,,Diagnostic alert indicator within the inverter's Modbus map to monitor for arc faults,R,
144.b0,afciflag_arcalarmch1,AFCIFlag_ArcAlarmCH1,,1bit,,,Arc status of CH1 0-Normal 1-Alarm,R,
144.b1,afciflag_arcalarmch2,AFCIFlag_ArcAlarmCH2,,1bit,,,Arc status of CH2 0-Normal 1-Alarm,R,
144.b2,afciflag_arcalarmch3,AFCIFlag_ArcAlarmCH3,,1bit,,,Arc status of CH3 0-Normal 1-Alarm,R,
144.b3,afciflag_arcalarmch4,AFCIFlag_ArcAlarmCH4,,1bit,,,Arc status of CH4 0-Normal 1-Alarm,R,
144.b4,afciflag_selftestresultch1,AFCIFlag_SelfTestResultCH1,,1bit,,,Test result of CH1 0-Normal 1-fail,R,
144.b5,afciflag_selftestresultch2,AFCIFlag_SelfTestResultCH2,,1bit,,,Test result of CH2 0-Normal 1-fail,R,
144.b6,afciflag_selftestresultch3,AFCIFlag_SelfTestResultCH3,,1bit,,,Test result of CH3 0-Normal 1-fail,R,
144.b7,afciflag_selftestresultch4,AFCIFlag_SelfTestResultCH4,,1bit,,,Test result of CH4 0-Normal 1-fail,R,
145,afci_arcch1,AFCI_ArcCH1,,,,,Real time arc of CH1,R,
146,afci_arcch2,AFCI_ArcCH2,,,,,Real time arc of CH2,R,
147,afci_arcch3,AFCI_ArcCH3,,,,,Real time arc of CH3,R,
148,afci_arcch4,AFCI_ArcCH4,,,,,Real time arc of CH4,R,
149,afci_maxarcch1,AFCI_MaxArcCH1,,,,,Max arc of CH1,R,
150,afci_maxarcch2,AFCI_MaxArcCH2,,,,,Max arc of CH2,R,
151,afci_maxarcch3,AFCI_MaxArcCH3,,,,,Max arc of CH3,R,
152,afci_maxarcch4,AFCI_MaxArcCH4,,,,,Max arc of CH4,R,
153,accouplepower,ACCouplePower,W,,,,AC Coupled inverter power,R,
154,autotesttripvalue_0_,AutoTestTripValue_0_,0.1V/0. 01Hz,,,,,R,
161,autotesttripvalue_7_,AutoTestTripValue_7_,0.1V/0. 01Hz,,,,,R,
162,autotesttriptime__0_,AutoTestTripTime _0_,ms,,,,,R,
169,autotesttriptime__7_,AutoTestTripTime _7_,ms,,,,,R,
170,pload,Pload,W,,,,Active power (in Watts) currently being utilized by the loads connected to the inverter,R,
171,eload_day,Eload_day,0.1kWh,,,,represents the total energy in kilowatt-hours (kWh) consumed by the loads connected to the inverter for the current day.,R,
172,eload_all,Eload_all,1kWh,UINT,,"{""Register_Endian"": ""little_endian-CDAB""}",low bit  combine with high bit to get historical total,R,
174,switchstate_safetysw,SwitchState_SafetySw,,4bit,0-31,,The status of the 5-digit safety DIP switch,R,
180,pinv_s,Pinv_S,W,,0-65535,,On grid inverter power of three phase: S phase,R,
181,pinv_t,Pinv_T,W,,0-65535,,On grid inverter power of three phase: T phase,R,
182,prec_s,Prec_S,W,,0-65535,,Charging rectification power of three phase: S phase,R,
183,prec_t,Prec_T,W,,0-65535,,Charging rectification power of three phase: T phase,R,
184,ptogrid_s,Ptogrid_S,W,,0-65535,,User on-grid power of three phase: S phase,R,
185,ptogrid_t,Ptogrid_T,W,,0-65535,,User on-grid power of three phase: T phase,R,
186,ptouser_s,Ptouser_S,W,,0-65535,,Grid supply power of three phase: S phase,R,
187,ptouser_t,Ptouser_T,W,,0-65535,,Grid supply power of three phase:T phase,R,
188,genpower_s,GenPower_S,W,,0-65535,,Power of generator for three phase: S phase,R,
189,genpower_t,GenPower_T,W,,0-65535,,Power of generator for three phase: T phase,R,
190,iinvrms_s,IinvRMS_S,0.01,,0-65535,,Effective value of three phase inverter current: S phase,R,
191,iinvrms_t,IinvRMS_T,0.01,,0-65535,,Effective value of three phase inverter current: T phase,R,
192,pf_s,PF_S,,,0-2000,"{""High_Low"":""x?(0,1000]->x/1000 x?(1000,2000)->(1000-x)/1000""}",Power factor of three phase: S phase,R,
193,pf_t,PF_T,,,0-2000,"{""High_Low"":""x?(0,1000]->x/1000 x?(1000,2000)->(1000-x)/1000""}",Power factor of three phase: T phase,R,
210,quick_charge_remaining,quick_charge_remaining,sec,,0-65535,,The remaining time of a quick charge action in seconds,R,
233,register_233,Register 233,,ushort,0-65535,,Unknown,R,
236,register_236,Register 236,,ushort,0-65535,,Unknown,R,
237,register_237,Register 237,,ushort,0-65535,,Unknown,R,
241,register_241,Register 241,,ushort,0-65535,,Unknown,R,
242,register_242,Register 242,,ushort,0-65535,,Unknown,R,
244,register_244,Register 244,,ushort,0-65535,,Unknown,R,
245,register_245,Register 245,,ushort,0-65535,,Unknown,R,
252,register_252,Register 252,,ushort,0-65535,,Unknown,R,
253,register_253,Register 253,,ushort,0-65535,,Unknown,R,
254,register_254,Register 254,,ushort,0-65535,,Unknown,R,
257,register_257,Register 257,,ushort,0-65535,,Unknown,R,
260,register_260,Register 260,,ushort,0-65535,,Unknown,R,
268,register_268,Register 268,,ushort,0-65535,,Unknown,R,
270,register_270,Register_270,,ushort,0-65535,,Unknown,R,
336,register_336,Register_336,,ushort,0-65535,,Unknown,R,
400,faultrecord1_yandm,FaultRecord1_YAndM,,,,,Fault Records 1_ years & months,R,
401,faultrecord1_dandh,FaultRecord1_DAndH,,,,,Fault Records 1_ days & hours,R,
402,faultrecord1_mands,FaultRecord1_MAndS,,,,,Fault Records 1_ minutes & seconds,R,
403,faultrecord1_code,FaultRecord1_Code,,,,,Fault Records 1_ fault code,R,
404,faultrecord1_value,FaultRecord1_Value,,,,,Fault Records 1_ fault value,R,
405,faultrecord1_setorclr,FaultRecord1_SetOrClR,,,0~1,,Fault Records 1_Fault occurred or cleared (0-fault occurred,R,
406,faultrecord2_yandm,FaultRecord2_YAndM,,,,,Fault Records 2_ years & months,R,
407,faultrecord2_dandh,FaultRecord2_DAndH,,,,,Fault Records 2_ days & hours,R,
408,faultrecord2_mands,FaultRecord2_MAndS,,,,,Fault Records 2_ minutes & seconds,R,
409,faultrecord2_code,FaultRecord2_Code,,,,,Fault Records 2_ fault code,R,
410,faultrecord2_value,FaultRecord2_Value,,,,,Fault Records 2_Fault value,R,
411,faultrecord2_setorclr,FaultRecord2_SetOrClR,,,0~1,,Fault Records 2_Fault occurred or clear (0 - Fault Occurred,R,
5002,batterystatusheader_1,BatteryStatusHeader_1,,,0-65535,,Battery status header,R,
5003,batteryfullcapacity_1,BatteryFullCapacity_1,Ah,,0-65535,,Full rated capacity,R,
5004,batterychargevoltageref_1,BatteryChargeVoltageRef_1,0.1V,,0-65535,,BMS charge voltage reference,R,
5005,batterychargecurrentlimit_1,BatteryChargeCurrentLimit_1,0.1A,,0-65535,,BMS charge current limit,R,
5006,batterydischargecurrentlimit_1,BatteryDischargeCurrentLimit_1,0.1A,,0-65535,,BMS discharge current limit,R,
5007,batterydischargevoltagecutoff_1,BatteryDischargeVoltageCutoff_1,0.1V,,0-65535,,BMS discharge voltage cutoff,R,
5008,batteryvoltage_1,BatteryVoltage_1,0.01V,,0-65535,,Battery module voltage,R,
5009,batterycurrent_1,BatteryCurrent_1,0.1A,short,-32768-32767,,Battery module current,R,
5010.b0,batterysoc_1,BatterySOC_1,%,8bit,0-100,,Battery state of charge,R,
5010.b8,batterysoh_1,BatterySOH_1,%,8bit,0-100,,Battery state of health,R,
5011,batterycyclecount_1,BatteryCycleCount_1,,,0-65535,,Charge/discharge cycle count,R,
5012,batterymaxcelltemp_1,BatteryMaxCellTemp_1,0.1C,short,-32768-32767,,Maximum cell temperature,R,
5013,batterymincelltemp_1,BatteryMinCellTemp_1,0.1C,short,-32768-32767,,Minimum cell temperature,R,
5014,batterymaxcellvoltage_1,BatteryMaxCellVoltage_1,0.001V,,0-65535,,Maximum cell voltage,R,
5015,batterymincellvoltage_1,BatteryMinCellVoltage_1,0.001V,,0-65535,,Minimum cell voltage,R,
5016.b0,batterymaxcellnumvoltage_1,BatteryMaxCellNumVoltage_1,,8bit,0-255,,Cell number with maximum voltage,R,
5016.b8,batterymincellnumvoltage_1,BatteryMinCellNumVoltage_1,,8bit,0-255,,Cell number with minimum voltage,R,
